CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,GROSS BUILDING FLOOR AREA (ft²),NUMBER OF BUILDINGS,OCCUPANCY,POSTAL CODE,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),YEAR BUILT
222.8,-53.6,-53.6,155325.0,1.0,100.0,90010,Multifamily Housing,18.9,59.4,486.6,1924.0
90.5,-27.0,-27.0,113916.0,1.0,100.0,90502,Non-Refrigerated Warehouse,11.3,31.6,896.9,1979.0
385.5,2.1,2.1,138500.0,1.0,100.0,91352,Non-Refrigerated Warehouse,36.7,115.3,938.4,2002.0
68.9,-58.3,-58.3,37478.0,1.0,95.0,91411,Multifamily Housing,30.8,52.9,2327.2,1964.0
53.9,42.9,42.9,10449.0,1.0,100.0,90027,Library,73.3,205.2,416.9,1999.0
113.6,-18.8,-18.8,41460.0,1.0,100.0,91304,Multifamily Housing,46.5,75.8,2201.0,2010.0
132.0,-11.6,-11.6,72204.0,1.0,100.0,90018,Multifamily Housing,26.9,65.0,7360.7,2013.0
147.3,8.3,8.3,53300.0,1.0,100.0,90020,Multifamily Housing,45.3,83.7,5498.2,1953.0
56.9,-35.9,-35.9,37012.0,1.0,100.0,91367,Office,22.7,57.2,2755.1,1970.0
44.4,-60.1,-60.1,20950.0,1.0,100.0,90046,Multifamily Housing,38.6,47.2,820.2,1972.0
546.3,-70.6,-70.6,266396.0,1.0,100.0,90058,Refrigerated Warehouse,23.6,74.2,843.5,1965.0
35.7,-76.5,-76.5,125938.0,1.0,100.0,90744,Self-Storage Facility,4.0,11.2,643.0,2009.0
610.5,-33.1,-33.1,131256.0,1.0,100.0,91325,Office,67.8,177.0,2583.8,2000.0
93.3,-15.9,-15.9,39010.0,1.0,100.0,91405,Multifamily Housing,39.4,71.7,2211.2,1980.0
242.8,-82.7,-82.7,433745.0,1.0,100.0,91608,Hotel,7.5,22.8,1065.2,1968.0
218.6,0.5,0.5,75948.0,1.0,100.0,91402,Multifamily Housing,44.0,96.1,3657.2,2009.0
100.9,10.3,10.3,29647.0,1.0,100.0,91406,Multifamily Housing,57.9,94.0,1899.3,1970.0
302.5,-11.6,-11.6,128745.0,1.0,100.0,90027,Multifamily Housing,35.0,81.9,3968.4,1979.0
78.1,-56.7,-56.7,64990.0,1.0,100.0,90024,Multifamily Housing,17.1,47.5,4999.2,1986.0
688.7,4.1,4.1,261563.0,1.0,100.0,90094,Multifamily Housing,41.8,82.0,9542.2,2004.0
230.8,-18.4,-18.4,91307.0,1.0,100.0,91324,Multifamily Housing,39.2,82.1,3747.7,1973.0
39.2,-69.6,-69.6,45965.0,1.0,60.0,91402,Non-Refrigerated Warehouse,13.2,29.3,124.9,1953.0
144.6,-72.4,-72.4,298000.0,1.0,100.0,90502,Distribution Center,6.4,20.0,896.9,1997.0
29.8,-43.8,-43.8,39782.0,2.0,100.0,90248,Distribution Center,10.6,29.7,1597.8,1980.0
40.3,-9.0,-9.0,12269.0,1.0,100.0,90018,Library,46.7,130.7,364.2,2000.0
82.0,-55.1,-55.1,100362.0,1.0,100.0,91342,Non-Refrigerated Warehouse,11.6,30.9,2.2,2001.0
6.4,-77.8,-77.8,46000.0,1.0,5.0,90021,Distribution Center,2.0,5.5,46.3,2000.0
54.6,21.0,21.0,12500.0,1.0,100.0,91303,Library,62.1,173.8,594.7,2004.0
83.9,142.6,142.6,8250.0,1.0,100.0,90011,Fire Station,146.3,374.4,654.4,2010.0
28.9,-85.8,-85.8,48354.0,1.0,100.0,91324,Multifamily Housing,10.1,16.7,2055.9,1972.0
848.2,-30.6,-30.6,169951.0,1.0,100.0,91436,Office,60.3,174.3,2745.4,1983.0
53.1,93.5,93.5,10720.0,1.0,100.0,91601,Other - Recreation,69.8,187.4,794.4,1977.0
25.5,-65.4,-65.4,17640.0,1.0,100.0,90041,Fire Station,20.8,53.4,153.4,2010.0
139.9,-9.9,-9.9,58960.0,1.0,100.0,90036,Multifamily Housing,39.4,69.6,1894.8,1989.0
240.2,-29.6,-29.6,103854.0,1.0,95.0,91304,Multifamily Housing,36.9,74.6,5816.1,2012.0
92.9,-51.5,-51.5,45000.0,1.0,90.0,90041,Hotel,33.8,62.6,1747.4,1984.0
18.0,-69.9,-69.9,16583.0,1.0,100.0,90006,Other - Lodging/Residential,15.4,43.3,2179.8,1905.0
45.5,-50.1,-50.1,26046.0,1.0,100.0,90026,Multifamily Housing,29.8,47.7,2018.1,2008.0
84.6,-58.1,-58.1,69821.0,5.0,100.0,90036,K-12 School,17.7,45.9,1305.2,1966.0
240.9,5.9,5.9,71755.0,1.0,95.0,90036,Multifamily Housing,59.9,80.5,5382.2,1951.0
30.9,-62.8,-62.8,23800.0,1.0,100.0,91367,Retail Store,18.5,51.7,709.2,1974.0
1279.3,-14.4,-14.4,295750.0,1.0,80.0,90015,Hotel,68.6,141.0,12048.9,2014.0
328.0,4.9,4.9,65039.0,1.0,100.0,90094,Senior Care Community,74.7,177.6,3134.3,2006.0
5.8,-82.6,-82.6,27557.0,1.0,100.0,90041,Self-Storage Facility,3.0,8.3,11.0,2000.0
25.4,-82.1,-82.1,118368.0,1.0,70.0,91311,Self-Storage Facility,3.1,8.5,60.7,1985.0
110.6,-69.3,-69.3,95980.0,1.0,100.0,91367,Office,16.8,44.0,776.5,2006.0
79.5,40.5,40.5,14494.0,1.0,100.0,90019,Office,72.3,227.1,300.9,1963.0
22.7,-83.9,-83.9,25759.0,1.0,100.0,90068,Multifamily Housing,16.4,18.0,917.1,1961.0
546.1,-40.5,-40.5,403669.0,1.0,100.0,90015,Multifamily Housing,20.0,47.7,6352.5,2015.0
543.5,-33.3,-33.3,61840.0,1.0,100.0,90025,Supermarket/Grocery Store,129.7,327.9,1557.5,1962.0
