CARBON DIOXIDE EMISSIONS (Metric Ton CO2e),% DIFFERENCE FROM NATIONAL MEDIAN SOURCE EUI,% DIFFERENCE FROM NATIONAL MEDIAN SITE EUI,GROSS BUILDING FLOOR AREA (ft²),NUMBER OF BUILDINGS,OCCUPANCY,POSTAL CODE,PROPERTY TYPE,SITE ENERGY USE INTENSITY (EUI) (kBtu/ft²),Source EUI (kBtu/ft²),TOTAL WATER USE (kgal),YEAR BUILT
1166.3,36.6,36.6,140000.0,1.0,100.0,90023,Refrigerated Warehouse,109.8,344.9,3435.1,1954.0
5.3,-89.4,-89.4,27175.0,1.0,95.0,90034,Multifamily Housing,2.8,7.8,961.1,1965.0
1198.8,79.6,79.6,103365.0,1.0,100.0,91402,Medical Office,161.0,358.2,29972.0,1959.0
341.5,-8.7,-8.7,113623.0,1.0,100.0,91402,Multifamily Housing,49.3,87.4,5007.5,1973.0
685.3,-46.6,-46.6,220050.0,1.0,75.0,90036,Office,42.4,123.8,2622.5,1960.0
153.9,-35.5,-35.5,67369.0,1.0,95.0,91602,Multifamily Housing,35.8,76.2,4136.0,1963.0
160.8,-12.1,-12.1,57080.0,0.0,95.0,91342,Multifamily Housing,37.1,116.6,5147.3,1971.0
13.1,-85.1,-85.1,72880.0,1.0,100.0,91344,Self-Storage Facility,2.5,7.1,116.0,1985.0
34.5,11.8,11.8,22100.0,1.0,100.0,91331,Worship Facility,23.4,57.1,3.1,1951.0
246.1,-17.9,-17.9,60587.0,1.0,85.0,90025,Office,62.1,142.4,1828.7,1959.0
662.6,-7.0,-7.0,193000.0,1.0,95.0,91356,Multifamily Housing,55.8,101.8,16379.3,1994.0
8.1,-59.2,-59.2,27500.0,1.0,100.0,91405,Worship Facility,4.3,11.4,211.7,1957.0
198.6,85.4,85.4,26478.0,1.0,100.0,91605,Other - Public Services,120.4,228.2,42.8,1990.0
57.1,6.1,6.1,12932.0,1.0,100.0,90731,Fire Station,63.1,163.8,1297.8,1985.0
111.9,-26.1,-26.1,41160.0,1.0,90.0,91304,Office,38.6,108.1,842.4,2000.0
76.5,-22.9,-22.9,24000.0,1.0,100.0,90004,Multifamily Housing,55.0,84.7,1537.6,1994.0
47.1,-47.5,-47.5,24510.0,1.0,100.0,90049,Multifamily Housing,30.6,62.0,517.7,1972.0
107.9,356.6,356.6,10014.0,1.0,100.0,90003,Other - Recreation,143.0,442.1,770.5,2004.0
308.1,37.8,37.8,56072.0,1.0,100.0,90020,Office,79.6,211.3,6690.6,1965.0
1815.2,96.5,96.5,152144.0,1.0,100.0,90230,Wholesale Club/Supercenter,147.7,408.8,7715.2,1989.0
233.6,-4.9,-4.9,68659.0,2.0,100.0,90057,Multifamily Housing,51.0,117.5,10.8,2012.0
91.5,43.3,43.3,23277.0,1.0,100.0,91401,Multifamily Housing,62.8,126.3,2049.2,1961.0
953.0,-5.9,-5.9,146191.0,1.0,80.0,90015,Hotel,98.4,222.2,8170.2,1927.0
62.4,-20.4,-20.4,20000.0,1.0,100.0,90041,Multifamily Housing,51.9,91.2,22695.9,1989.0
55.9,-10.4,-10.4,15105.0,1.0,100.0,90094,Fire Station,52.7,138.3,157.2,2007.0
302.8,-8.2,-8.2,108844.0,1.0,100.0,91604,Multifamily Housing,43.6,88.5,4423.2,1990.0
288.8,20.9,20.9,68948.0,6.0,95.0,90031,Multifamily Housing,69.4,123.5,12.1,2013.0
611.0,-52.8,-52.8,179336.0,1.0,100.0,91367,Office,46.1,136.4,2089.6,2003.0
1203.4,65.6,65.6,295131.0,4.0,95.0,90015,Multifamily Housing,61.7,145.6,5696.4,2007.0
63.1,-21.5,-21.5,32800.0,1.0,95.0,91601,Multifamily Housing,29.5,67.1,963.6,1988.0
132.2,-70.9,-70.9,123724.0,1.0,95.0,91405,Multifamily Housing,19.0,25.9,6213.5,1971.0
30.7,-70.5,-70.5,27335.0,1.0,95.0,91344,Multifamily Housing,20.1,26.4,1343.3,1959.0
60.1,-27.4,-27.4,22752.0,1.0,100.0,91406,Multifamily Housing,45.6,70.2,1152.0,1964.0
777.0,-25.2,-25.2,269608.0,0.0,0.0,91303,Multifamily Housing,47.2,87.3,14.0,2013.0
139.1,-32.3,-32.3,57384.0,1.0,95.0,90028,Multifamily Housing,39.7,73.5,2828.4,1990.0
113.9,-3.2,-3.2,51388.0,1.0,100.0,90025,Multifamily Housing,36.3,67.4,1731.7,1991.0
2.2,-83.5,-83.5,14000.0,1.0,100.0,90021,Non-Refrigerated Warehouse,2.3,6.3,18.0,1948.0
196.6,-5.6,-5.6,56500.0,1.0,100.0,90023,Refrigerated Warehouse,49.4,138.3,1402.6,2005.0
815.6,1.0,1.0,277000.0,1.0,100.0,90017,Mixed Use Property,41.8,117.0,14984.4,1987.0
508.1,113.5,113.5,66517.0,1.0,85.0,90292,Mixed Use Property,114.6,262.9,3560.7,1983.0
62.5,20.8,20.8,11320.0,1.0,100.0,90003,Fire Station,83.8,186.4,545.0,1971.0
794.5,-68.5,-68.5,734305.0,1.0,95.0,90015,Multifamily Housing,15.4,40.4,3071.3,2016.0
88.2,59.2,59.2,32200.0,1.0,100.0,90731,Multifamily Housing,46.5,75.8,1709.4,2010.0
120.7,275.0,275.0,13324.0,1.0,100.0,91411,Other - Recreation,122.7,363.1,552.1,2002.0
42.4,-67.3,-67.3,33580.0,1.0,100.0,91311,Multifamily Housing,23.1,27.9,15103.3,1977.0
99.8,-27.7,-27.7,42672.0,1.0,95.0,90024,Multifamily Housing,39.3,66.6,1925.3,1972.0
238.0,59.3,59.3,67764.0,3.0,100.0,90044,Multifamily Housing,55.4,115.5,4293.5,2010.0
1060.5,-51.4,-51.4,1506115.0,2.0,100.0,90501,Distribution Center,9.3,29.2,7773.8,1998.0
55.8,-86.3,-86.3,73311.0,1.0,100.0,91342,Multifamily Housing,13.7,17.5,3733.5,1986.0
423.7,-57.9,-57.9,131848.0,1.0,100.0,90047,Retail Store,37.8,114.5,4446.2,2001.0
160.3,-68.2,-68.2,190660.0,1.0,100.0,90028,Multifamily Housing,13.9,23.9,4721.1,2013.0
13.9,-84.8,-84.8,72243.0,1.0,100.0,90023,Self-Storage Facility,2.8,7.3,177.0,1997.0
54.4,-38.9,-38.9,25150.0,1.0,100.0,90024,Other - Recreation,34.8,68.4,706.9,1984.0
36.3,-58.7,-58.7,76609.0,1.0,100.0,91311,Self-Storage Facility,6.3,19.6,70.0,1986.0
745.4,8.9,8.9,226797.0,2.0,100.0,90017,Office,47.6,126.7,5782.4,1972.0
143.2,-41.3,-41.3,85500.0,1.0,100.0,91605,Wholesale Club/Supercenter,22.7,67.1,417.4,1951.0
386.6,-30.4,-30.4,167455.0,1.0,95.0,90015,Multifamily Housing,35.0,78.0,3658.7,2015.0
3510.1,9.2,9.2,242176.0,1.0,100.0,90017,Data Center,167.0,524.5,12669.8,1985.0
115.4,42.2,42.2,19776.0,1.0,100.0,90042,Retail Store,83.1,230.7,245.5,1997.0
875.7,13.3,13.3,201754.0,1.0,95.0,90015,Multifamily Housing,62.7,158.6,5372.0,2008.0
130.8,107.3,107.3,28104.0,1.0,100.0,90038,Multifamily Housing,72.4,157.4,504.6,1927.0
1341.4,-46.3,-46.3,414699.0,1.0,85.0,90071,Office,42.7,133.9,5042.6,1982.0
56.0,-28.3,-28.3,21595.0,1.0,100.0,90028,Fire Station,40.0,89.5,892.0,1992.0
9.9,-90.3,-90.3,71598.0,1.0,90.0,90021,Distribution Center,1.8,5.7,6.7,1984.0
791.9,-67.7,-67.7,513976.0,5.0,100.0,91303,Multifamily Housing,24.2,41.3,23899.1,2007.0
48.6,-37.9,-37.9,26254.0,1.0,95.0,91411,Multifamily Housing,27.9,66.9,1559.0,1964.0
60.4,-48.2,-48.2,26908.0,1.0,100.0,91436,Multifamily Housing,38.4,61.2,1330.0,1961.0
51.1,9.2,9.2,15500.0,1.0,100.0,90064,Retail Store,46.8,131.1,205.9,1923.0
93.8,4.2,4.2,58629.0,1.0,100.0,90007,Multifamily Housing,26.6,46.6,4935.6,1983.0
64.8,-25.3,-25.3,26496.0,1.0,95.0,90048,Multifamily Housing,39.4,77.0,959.8,1989.0
55.0,74.1,74.1,8736.0,1.0,100.0,90037,Library,89.3,250.1,121.4,1913.0
10.3,-87.2,-87.2,32673.0,1.0,100.0,91607,Multifamily Housing,4.5,12.5,2096.8,1974.0
144.4,-40.8,-40.8,88823.0,1.0,95.0,90046,Multifamily Housing,25.3,52.4,3045.3,1978.0
139.4,21.0,21.0,42165.0,1.0,95.0,91423,Multifamily Housing,50.2,117.4,1485.6,1969.0
297.0,-34.6,-34.6,100635.0,1.0,85.0,90014,Office,41.9,117.3,1636.2,1928.0
690.3,3.2,3.2,192306.0,1.0,95.0,90036,Multifamily Housing,63.2,89.7,1620.3,1951.0
140.1,-0.4,-0.4,63427.0,1.0,95.0,90036,Multifamily Housing,36.3,66.5,1796.6,2005.0
87.6,-21.0,-21.0,29749.0,1.0,100.0,91304,Multifamily Housing,50.4,79.8,1579.3,1964.0
111.0,-87.0,-87.0,149259.0,1.0,80.0,91356,Other - Mall,9.8,30.8,2035.0,2009.0
177.8,-7.5,-7.5,47811.0,1.0,95.0,91311,Office,54.8,138.9,1104.2,2000.0
96.0,-62.0,-62.0,77919.0,1.0,95.0,90049,Multifamily Housing,20.5,34.8,2212.0,1977.0
29.1,-78.2,-78.2,59463.0,1.0,100.0,91342,Multifamily Housing,7.2,18.6,3538.3,2012.0
79.0,-57.0,-57.0,125000.0,1.0,100.0,91342,Distribution Center,8.3,26.2,724.9,1999.0
132.1,-24.6,-24.7,28391.0,1.0,100.0,90024,Bank Branch,72.4,157.4,509.7,1930.0
73.9,48.7,48.7,20046.0,1.0,100.0,90046,Multifamily Housing,58.7,118.9,1270.1,1987.0
25.2,12.9,12.9,21000.0,1.0,100.0,91605,Non-Refrigerated Warehouse,17.1,47.8,113.0,1955.0
1.5,-97.6,-97.6,20672.0,1.0,100.0,90028,Multifamily Housing,1.0,2.8,739.2,1952.0
67.1,-38.6,-38.6,32300.0,1.0,100.0,90501,Retail Store,29.5,82.6,64.4,1999.0
87.6,-92.7,-92.7,209357.0,1.0,100.0,90292,Strip Mall,5.9,16.6,9140.6,1973.0
745.2,96.9,96.9,116386.0,1.0,90.0,90094,Multifamily Housing,96.0,232.5,5344.2,2015.0
123.8,-11.2,-11.2,24240.0,1.0,100.0,91367,Office,73.4,198.9,1099.9,1978.0
190.9,-13.4,-13.4,64220.0,1.0,95.0,91325,Multifamily Housing,49.4,87.1,3230.8,1963.0
1314.9,-17.8,-17.8,362288.0,1.0,95.0,91367,Multifamily Housing,59.0,111.9,34.3,2008.0
332.1,-34.0,-34.0,224036.0,3.0,80.0,90026,Mixed Use Property,21.0,58.9,7537.1,1926.0
59.8,-36.5,-36.5,22400.0,1.0,95.0,90004,Multifamily Housing,45.4,74.0,1610.6,1926.0
391.9,46.9,46.9,110297.0,1.0,95.0,90024,Multifamily Housing,52.4,125.7,4002.0,2007.0
84.6,-22.0,-22.0,35089.0,1.0,100.0,90020,Multifamily Housing,39.3,74.2,2336.9,1965.0
244.2,-28.0,-28.0,92952.0,2.0,100.0,91335,Multifamily Housing,43.3,75.4,5526.6,1970.0
97.2,-21.7,-21.7,57000.0,1.0,100.0,91325,Multifamily Housing,24.6,66.1,2119.2,1965.0
24.0,-70.0,-70.0,24227.0,5.0,100.0,91307,Pre-school/Daycare,14.1,39.4,3493.4,1963.0
72.0,-34.1,-34.1,28764.0,1.0,100.0,91403,Office,35.5,99.4,131.4,1963.0
79.7,-26.6,-26.6,25858.0,1.0,95.0,90066,Multifamily Housing,52.0,86.7,1068.1,1972.0
111.6,45.1,45.1,22000.0,1.0,100.0,91304,Retail Store,72.0,201.6,401.5,1979.0
1022.6,-37.1,-37.1,390289.0,1.0,95.0,90036,Multifamily Housing,39.3,90.2,11372.6,2014.0
10.5,-86.5,-86.5,22934.0,1.0,100.0,90744,Social/Meeting Hall,7.3,14.8,358.3,1953.0
852.3,169.2,169.2,108149.0,3.0,100.0,90028,Office,111.9,313.3,3744.0,2015.0
648.7,7.1,7.1,277069.0,1.0,100.0,91601,Multifamily Housing,34.5,83.2,9540.7,2007.0
34.8,-69.3,-69.3,93816.0,1.0,100.0,90029,Self-Storage Facility,5.3,14.7,724.7,2000.0
121.8,-45.3,-45.3,132024.0,1.0,90.0,90021,Distribution Center,12.2,38.2,65.8,1935.0
611.8,-29.4,-29.4,131305.0,1.0,100.0,91311,Office,68.0,177.4,900.4,1981.0
29.3,-87.1,-87.1,42500.0,1.0,100.0,90025,Multifamily Housing,12.6,15.2,1251.7,1964.0
39.4,-57.6,-57.6,21703.0,1.0,95.0,91316,Multifamily Housing,33.1,40.5,1168.1,1969.0
746.0,27.4,27.4,200000.0,4.0,95.0,91316,Office,53.0,148.3,1750.4,1988.0
402.7,11.3,11.3,123997.0,1.0,95.0,91367,Multifamily Housing,53.6,96.9,4925.2,2004.0
285.6,-39.7,-39.7,60630.0,1.0,100.0,91311,Office,71.6,158.8,219.2,1995.0
777.4,80.7,80.7,70541.0,1.0,80.0,90744,Refrigerated Warehouse,145.3,456.3,2684.4,2003.0
104.4,36.6,36.6,50000.0,1.0,100.0,91605,Non-Refrigerated Warehouse,27.5,86.4,231.9,1970.0
574.1,-12.2,-12.2,281662.0,1.0,95.0,90068,Multifamily Housing,33.1,63.2,11194.1,1973.0
136.2,-49.8,-49.8,64547.0,1.0,90.0,91367,Office,44.3,83.1,1538.7,1981.0
139.6,-10.3,-10.3,60948.0,1.0,95.0,90027,Multifamily Housing,37.5,69.6,2402.8,1986.0
266.3,-49.3,-49.3,87775.0,1.0,80.0,91423,Office,40.0,125.6,9.0,1982.0
1517.0,42.8,42.8,381269.0,2.0,95.0,90012,Multifamily Housing,57.0,156.0,20106.0,1968.0
55.2,-21.3,-21.3,20144.0,1.0,100.0,91343,Multifamily Housing,46.5,75.8,1069.4,1964.0
166.6,107.3,107.3,35807.0,1.0,100.0,90018,Multifamily Housing,72.4,157.4,642.9,1959.0
60.6,-11.8,-11.8,23755.0,1.0,100.0,90027,Multifamily Housing,44.1,67.5,944.0,1955.0
729.1,-27.8,-27.8,249809.0,1.0,30.0,90010,Office,45.1,100.3,2595.6,1955.0
205.2,-46.2,-46.2,85832.0,1.0,95.0,90094,Office,33.9,95.0,1536.4,1942.0
373.2,-12.0,-12.0,33440.0,1.0,100.0,90029,Supermarket/Grocery Store,158.4,443.6,985.0,1960.0
201.0,-10.1,-10.1,70695.0,1.0,100.0,91405,Multifamily Housing,47.0,84.4,7060.1,1975.0
160.3,284.6,284.6,34457.0,1.0,100.0,90058,Non-Refrigerated Warehouse,72.4,157.4,618.6,1959.0
132.2,-4.1,-4.1,48902.0,1.0,95.0,91406,Multifamily Housing,44.2,82.2,989.9,1987.0
182.4,-19.1,-19.1,68894.0,1.0,100.0,91325,Multifamily Housing,42.9,82.5,3463.8,1996.0
13.3,-82.3,-82.3,73177.0,1.0,100.0,90021,Non-Refrigerated Warehouse,2.6,7.2,64.3,1957.0
234.1,-26.7,-26.7,108192.0,1.0,95.0,90020,Multifamily Housing,33.0,72.3,5003.7,1989.0
713.4,-37.9,-37.9,173674.0,0.0,100.0,90048,Medical Office,62.5,145.1,8107.9,1979.0
706.0,-50.7,-50.7,195694.0,1.0,100.0,90066,Office,49.3,142.7,3350.7,1982.0
31.5,-94.6,-94.6,105535.0,1.0,100.0,90020,Medical Office,4.6,9.9,3209.5,1956.0
82.9,-32.3,-32.3,35000.0,1.0,100.0,91436,Retail Store,33.6,94.1,267.0,1962.0
30.5,-62.7,-62.7,22548.0,1.0,100.0,91601,Multifamily Housing,24.1,32.4,768.2,1988.0
1554.0,-34.4,-34.4,490000.0,1.0,85.0,90017,Office,45.0,126.1,7034.2,1987.0
251.3,-14.6,-14.6,63595.0,1.0,50.0,90045,Hotel,68.1,102.2,3510.7,1954.0
604.3,108.2,108.2,103000.0,0.0,100.0,90021,Transportation Terminal/Station,83.3,233.2,215.4,1969.0
67.1,48.5,48.5,12500.0,1.0,100.0,91303,Library,76.2,213.3,504.0,2004.0
249.6,-26.7,-26.7,78635.0,0.0,80.0,90248,Office,48.8,110.2,1464.6,1983.0
182.7,-34.7,-34.7,61064.0,1.0,70.0,90015,Medical Office,42.5,118.9,618.4,2010.0
70.6,24.2,24.2,63104.0,1.0,100.0,90021,Non-Refrigerated Warehouse,15.9,44.5,189.3,1991.0
2028.8,156.6,156.6,154568.0,1.0,100.0,90089,College/University,199.9,463.4,18175.6,1952.0
31.3,-58.2,-58.2,20700.0,1.0,95.0,90048,Multifamily Housing,27.1,35.8,2087.4,1973.0
91.9,2.3,2.3,40000.0,1.0,80.0,90014,Other,32.6,91.4,610.7,1930.0
52.8,-73.3,-73.3,37522.0,1.0,95.0,91356,Multifamily Housing,25.5,32.0,1837.5,1964.0
95.9,-7.2,-7.2,38916.0,1.0,100.0,90020,Multifamily Housing,41.4,70.5,2257.6,1969.0
0.0,-100.0,-100.0,13000.0,1.0,80.0,90007,Mixed Use Property,0.0,0.0,2881.1,1924.0
137.2,-22.0,-22.0,64231.0,1.0,100.0,91040,Multifamily Housing,35.6,62.2,3013.9,1984.0
127.7,394.8,394.8,11425.0,1.0,100.0,91405,Other - Utility,159.4,441.7,157.5,1962.0
3209.2,-34.4,-34.4,810474.0,1.0,80.0,90067,Office,65.6,134.4,8921.2,2003.0
16.3,-94.0,-94.0,90000.0,1.0,5.0,90014,Retail Store,2.6,7.2,39.5,1906.0
77.4,-65.8,-65.8,83946.0,2.0,100.0,90057,Multifamily Housing,16.0,24.0,3048.3,1996.0
2041.4,114.8,114.8,305635.0,1.0,95.0,90013,Mixed Use Property,98.8,250.0,3773.9,1924.0
680.4,11.4,11.4,120072.0,1.0,100.0,90032,Office,86.4,199.7,5337.2,2011.0
46.5,4.5,4.5,12300.0,1.0,100.0,91326,Library,53.6,150.2,245.5,1995.0
221.0,56.6,56.6,60000.0,1.0,100.0,90057,Multifamily Housing,58.7,118.9,3801.6,2010.0
18.7,-16.1,-16.1,21270.0,1.0,100.0,90021,Non-Refrigerated Warehouse,12.5,34.9,605.2,1987.0
47.3,-26.5,-26.5,26255.0,1.0,100.0,91311,Multifamily Housing,27.6,62.6,1753.4,1976.0
506.2,-7.8,-7.8,88843.0,1.0,100.0,91436,Office,78.0,224.8,1784.0,1974.0
8.4,-95.0,-95.0,48500.0,4.0,95.0,90037,Mixed Use Property,2.1,5.9,2243.7,1954.0
108.4,-47.0,-47.0,35574.0,1.0,95.0,90028,Strip Mall,43.3,121.2,1769.9,1924.0
1942.2,147.2,147.2,114958.0,1.0,100.0,90028,Office,243.6,655.3,4212.7,2005.0
51.6,-5.1,-5.1,12544.0,1.0,100.0,91303,Fire Station,60.5,146.5,241.5,1978.0
82.9,-48.8,-48.8,48573.0,1.0,75.0,90248,Office,24.8,65.5,602.1,1984.0
5565.1,-22.8,-22.8,1200356.0,1.0,100.0,90067,Office,64.9,177.4,22217.3,1974.0
72.6,-28.7,-28.7,36634.0,1.0,100.0,90046,Multifamily Housing,32.0,62.0,1018.8,1991.0
6651.1,38.2,38.2,1110333.0,1.0,90.0,90067,Enclosed Mall,85.5,236.0,63057.1,2017.0
111.7,61.9,61.9,30324.0,1.0,100.0,90049,Multifamily Housing,58.7,118.9,1921.3,1969.0
53.8,-68.2,-68.2,60000.0,1.0,80.0,90014,Other - Entertainment/Public Assembly,12.7,35.7,211.0,1914.0
66.6,-7.1,-7.1,22000.0,1.0,100.0,90744,Retail Store,43.0,120.3,187.3,1987.0
8.1,-93.8,-93.8,29363.0,1.0,90.0,90057,Office,4.5,8.5,397.2,1963.0
11.3,-84.9,-84.9,34000.0,1.0,95.0,91405,Multifamily Housing,4.7,13.2,1.8,2009.0
90.6,-29.4,-29.4,48549.0,1.0,100.0,90006,Multifamily Housing,31.2,53.6,20.9,1923.0
50.0,-57.0,-57.0,36128.0,1.0,100.0,90293,Multifamily Housing,24.1,35.7,1864.1,1969.0
1056.7,-43.5,-43.5,264997.0,1.0,100.0,90025,Office,46.0,144.3,1341.3,1986.0
166.4,0.7,0.7,47595.0,1.0,95.0,90036,Multifamily Housing,61.9,86.0,3545.8,1951.0
210.9,-15.6,-15.6,51230.0,1.0,100.0,90014,Multifamily Housing,69.0,118.0,2557.3,2006.0
101.7,-24.4,-24.4,37169.0,1.0,90.0,91311,Office,38.8,108.8,727.0,2000.0
100.9,-43.6,-43.6,123424.0,2.0,100.0,90032,Distribution Center,10.8,33.8,462.3,1950.0
336.6,10.0,10.0,113658.0,1.0,100.0,90004,Multifamily Housing,43.9,103.9,6801.3,1971.0
607.3,39.7,39.7,189083.0,2.0,20.0,90024,Multifamily Housing,37.0,116.2,6318.8,1966.0
108.5,17.9,17.9,21229.0,1.0,100.0,91343,Multifamily Housing,87.4,139.3,3846.0,1964.0
764.9,43.9,43.9,159000.0,1.0,95.0,90014,Office,63.4,199.2,305338.4,1920.0
291.9,14.8,14.8,66972.0,1.0,95.0,90036,Multifamily Housing,77.9,102.0,4992.5,1951.0
59.9,-44.6,-44.6,52000.0,1.0,100.0,90034,Multifamily Housing,18.7,35.5,1341.3,1970.0
326.4,-29.9,-29.9,136398.0,1.0,95.0,91325,Multifamily Housing,37.0,78.4,6607.5,1987.0
712.8,22.6,22.6,305938.0,1.0,100.0,91342,Distribution Center,31.0,95.4,4922.6,1986.0
366.0,-21.2,-21.2,83048.0,1.0,95.0,91403,Office,67.4,154.5,1211.1,1982.0
394.7,-55.3,-55.3,326931.0,1.0,100.0,90014,Non-Refrigerated Warehouse,15.9,50.0,1292.7,1966.0
54.2,-55.6,-55.6,100404.0,2.0,90.0,91352,Self-Storage Facility,7.7,21.2,437.8,2004.0
120.2,-16.5,-16.5,125152.0,1.0,100.0,90028,Self-Storage Facility,12.7,39.8,2105.0,2003.0
50.7,-17.6,-17.6,21012.0,1.0,100.0,91342,Multifamily Housing,40.4,69.5,1051.8,1987.0
229.2,-24.3,-24.3,68544.0,1.0,90.0,90017,Multifamily Housing,54.9,96.9,6978.9,1928.0
52.2,-61.6,-61.6,26700.0,1.0,100.0,91311,Office,33.5,52.9,74.8,1972.0
149.9,-21.9,-21.9,54526.0,1.0,100.0,90066,Office,39.2,108.6,2520.2,1969.0
102.4,-53.2,-53.2,64255.0,1.0,100.0,90020,Multifamily Housing,29.1,35.6,2927.6,1928.0
99.4,-0.3,-0.3,27746.0,1.0,100.0,91343,Multifamily Housing,61.1,98.5,2494.8,1962.0
74.2,20.3,20.3,14700.0,1.0,100.0,91344,Office,75.8,183.1,895.0,1990.0
671.1,21.8,21.8,117132.0,1.0,100.0,91331,Retail Store,76.0,235.5,991.9,2009.0
165.2,549.3,549.3,10720.0,1.0,100.0,90044,Other - Recreation,205.8,628.6,13894.3,1977.0
220.0,-75.1,-75.1,152445.0,1.0,100.0,91601,Office,21.7,52.3,2837.4,1991.0
116.6,-20.6,-20.6,38425.0,1.0,100.0,91324,Multifamily Housing,50.8,87.4,2185.1,1976.0
1149.3,-25.5,-25.5,126260.0,1.0,80.0,91436,Hospital (General Medical & Surgical),132.2,348.9,6676.3,1955.0
113.2,-15.3,-15.3,52669.0,3.0,100.0,91344,Multifamily Housing,33.6,72.2,2550.1,2000.0
632.1,-63.7,-63.7,230000.0,1.0,100.0,90013,Office,44.0,84.0,1638.2,1914.0
524.6,-58.0,-58.0,1500000.0,1.0,100.0,90023,Non-Refrigerated Warehouse,5.0,13.9,1452.8,1972.0
24.1,-72.1,-72.1,71622.0,1.0,90.0,90731,Self-Storage Facility,4.8,13.4,112.3,2012.0
3.8,-94.0,-94.0,24516.0,1.0,100.0,91325,Multifamily Housing,2.2,6.2,1232.8,1984.0
15.8,-97.0,-97.0,173233.0,5.0,100.0,90012,Other,1.2,3.7,127.8,1924.0
10.5,-76.4,-76.4,9188.0,1.0,100.0,91406,Police Station,18.0,36.4,80.4,1990.0
137.5,-22.7,-22.7,43001.0,1.0,100.0,91345,Medical Office,46.1,124.3,677.0,2009.0
22.8,-82.2,-82.2,34000.0,1.0,100.0,91604,Multifamily Housing,12.6,13.2,1061.1,1974.0
20.8,-83.1,-83.1,44712.0,1.0,95.0,91405,Multifamily Housing,6.6,18.5,2247.9,2010.0
290.8,147.3,147.3,94500.0,3.0,100.0,90010,Worship Facility,51.6,144.5,1775.9,1929.0
37.9,-9.5,-9.5,11188.0,1.0,100.0,90011,Fire Station,53.0,113.0,488.7,1950.0
70.6,-28.5,-28.5,25783.0,1.0,100.0,90019,Multifamily Housing,46.5,75.8,1368.8,1927.0
255.6,-48.2,-48.2,99341.0,1.0,55.0,90012,Office,34.3,105.2,1654.5,1979.0
52.9,-9.4,-9.4,22497.0,1.0,100.0,90006,Multifamily Housing,37.1,77.4,2817.2,1964.0
8.2,-75.7,-75.7,55000.0,1.0,100.0,90001,Distribution Center,2.1,5.9,66.7,1937.0
173.5,-5.0,-5.0,112000.0,1.0,95.0,90024,Multifamily Housing,24.9,49.0,2315.9,1977.0
49.0,-66.8,-66.8,52400.0,0.0,100.0,90008,Multifamily Housing,17.2,20.2,2519.4,2009.0
73.8,48.7,48.7,20044.0,1.0,100.0,90046,Multifamily Housing,58.7,118.9,1270.0,1953.0
117.2,20.1,20.1,35155.0,1.0,100.0,91606,Vocational School,47.3,132.6,619.4,1961.0
570.8,44.1,44.1,125278.0,1.0,95.0,90013,Multifamily Housing,58.6,151.3,4634.9,1906.0
96.4,-16.2,-16.2,42487.0,1.0,100.0,90027,Multifamily Housing,38.3,64.1,1309.8,1963.0
69.2,-0.9,-0.9,21632.0,1.0,95.0,91402,Multifamily Housing,54.4,88.7,2566.6,1963.0
488.9,-49.4,-49.4,340691.0,1.0,90.0,90045,Multifamily Housing,23.2,44.7,10284.2,2015.0
5.1,-94.6,-94.6,31880.0,1.0,85.0,91411,Multifamily Housing,2.3,6.3,3111.7,1988.0
113.4,87.7,87.7,22026.0,1.0,100.0,91423,Multifamily Housing,83.4,160.0,199864.5,1970.0
47.4,-70.6,-70.6,70700.0,1.0,100.0,90015,Multifamily Housing,10.5,22.3,291.7,1922.0
550.9,-47.2,-47.2,132431.0,1.0,100.0,90094,Office,54.4,136.0,2051.3,2010.0
53.2,84.8,84.8,10300.0,1.0,100.0,90025,Non-Refrigerated Warehouse,68.1,213.8,346.8,1940.0
104.7,-57.9,-57.9,129177.0,1.0,100.0,90293,Multifamily Housing,13.6,22.5,4829.4,1964.0
38.4,-73.9,-73.9,125938.0,1.0,100.0,90744,Self-Storage Facility,4.1,12.4,591.0,2009.0
365.0,231.1,231.1,7506.0,1.0,100.0,90042,Restaurant,698.2,1899.4,1200.6,1928.0
215.1,-78.1,-78.1,113140.0,6.0,100.0,90045,College/University,35.3,39.6,671.4,1968.0
547.4,-50.6,-50.6,188169.0,1.0,95.0,90036,Office,41.3,115.6,5162.7,1992.0
149.8,-58.9,-58.9,122646.0,1.0,100.0,91605,Other,16.1,50.6,1818.7,1958.0
61.5,-17.6,-17.6,24405.0,1.0,100.0,90006,Multifamily Housing,42.4,71.5,1069.4,1962.0
22569.0,5295.3,5295.3,146233.0,1.0,100.0,91303,Multifamily Housing,2035.1,6390.2,33470.8,2005.0
57.5,-48.4,-48.4,31164.0,1.0,100.0,90020,Multifamily Housing,34.1,39.2,2215.1,1929.0
51.4,-12.4,-12.4,24236.0,2.0,100.0,90005,Multifamily Housing,34.2,66.6,1167.7,1928.0
1009.2,27.2,27.2,137810.0,3.0,90.0,91324,Strip Mall,104.0,291.1,8955.7,1961.0
13.1,-86.3,-86.3,76590.0,1.0,100.0,90016,Self-Storage Facility,2.5,6.5,104.0,1993.0
57.8,-27.8,-27.8,21096.0,1.0,100.0,90004,Multifamily Housing,46.5,75.8,1120.0,1928.0
