CARBON_DIOXIDE_EMISSIONS_Metric_Ton_CO2e_,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SOURCE_EUI,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SITE_EUI,GROSS_BUILDING_FLOOR_AREA_ft_,NUMBER_OF_BUILDINGS,OCCUPANCY,POSTAL_CODE,PROPERTY_TYPE,SITE_ENERGY_USE_INTENSITY_EUI_kBtu_ft_,Source_EUI_kBtu_ft_,TOTAL_WATER_USE_kgal_,YEAR_BUILT
58.8,-35.8,-35.8,20630,1,100,91303,Multifamily Housing,45.1,92.9,3556.2,1988
111.2,0.5,0.5,35969,1,100,90291,Fitness Center/Health Club/Gym,46.3,112.6,765.3,1979
179.3,-18,-18,84236,1,90,90046,Multifamily Housing,34.1,67.8,2351.1,1987
309.7,10.8,10.8,104920,1,95,91604,Multifamily Housing,45,98.8,2899.4,1991
1575.7,40.7,40.7,262000,1,95,90036,Multifamily Housing,102.3,166.2,10482.4,1990
121,288.3,288.3,26000,1,100,90710,Non-Refrigerated Warehouse,72.4,157.4,466.8,1956
30.2,-70.7,-70.7,85472,1,95,91405,Self-Storage Facility,5,14,49.1,2004
146.6,20.9,20.9,44124,1,95,90028,Multifamily Housing,53.7,103.7,3329.6,1989
3112,-48.3,-48.3,1003459,1,100,90017,Office,44,123.3,40316.9,1985
136.2,-42.1,-42.1,48600,1,5,90057,Multifamily Housing,47.9,74.1,1716.9,1915
806.9,-42.7,-42.7,256671,1,75,90248,Office,41.5,130.2,5596.2,1988
284.8,-9.1,-9.1,118000,1,100,91436,Worship Facility,37.3,82.7,2254.9,1960
171.8,37.8,37.8,42412,1,100,91607,Multifamily Housing,66.7,121.4,2351.6,1961
521.4,-22.9,-22.9,44495,1,100,91601,Supermarket/Grocery Store,174.8,429.4,2524.6,1993
29.8,-70.3,-70.3,20972,1,100,91601,Multifamily Housing,26.1,30.9,1026.3,1988
62,-9.9,-9.9,21032,1,95,91423,Multifamily Housing,49.8,82.8,700.9,1979
18,-79.6,-79.6,30240,1,50,91304,Office,8.5,23.7,318.7,1965
476.3,-15.4,-15.4,175690,4,95,90036,Multifamily Housing,45,79.4,5494,2002
63.3,-6.9,-6.9,14546,1,100,91331,Fire Station,67,143.7,636,1960
1283.3,-18.8,-18.8,262771,1,90,91367,Office,66.3,194.8,3649,2008
317.8,311.4,311.4,64480,1,100,90065,Non-Refrigerated Warehouse,76.3,168.4,1157.6,1967
461.2,25.3,25.3,120000,1,95,90020,Multifamily Housing,66.1,102.8,6751.9,1972
339.5,39.5,39.5,92160,1,100,91316,Multifamily Housing,58.7,118.9,5839.3,1966
651.6,-8.7,-8.7,200984,8,95,91325,Multifamily Housing,50.6,104.2,11170.5,1975
2510.5,110.2,110.2,152517,1,100,91608,Office,240.4,625.4,19619.5,1964
184.4,-7.4,-7.4,57103,1,100,91356,Multifamily Housing,52.8,94.4,2408.7,1985
672.4,-55.5,-55.5,266395,1,65,90010,Office,33.7,103,3537.7,1972
177.9,46.1,46.1,89693,2,30,91342,Office,28.5,77.3,624,1982
1081.5,50.6,50.6,248954,3,100,91303,Other - Entertainment/Public Assembly,63,128.2,7893.4,1980
104.5,-77,-77,173042,3,95,90039,Multifamily Housing,9.4,19.5,10963.9,1988
165.6,-28.2,-28.2,82448,1,100,90023,Multifamily Housing,33.1,60.3,2654.1,2014
6.5,-93,-93,38041,1,100,91406,Multifamily Housing,2.4,6.8,4279.2,1973
16,-87.9,-87.9,64255,1,100,90020,Multifamily Housing,3.3,10.3,2238.3,1928
63.4,-22.1,-22.1,22748,1,100,91352,Multifamily Housing,46.9,79.1,1987.6,1986
11325,-37.4,-37.4,2833451,1,100,90067,Office,55.7,153.8,44456.5,1974
7.7,-51.8,-51.8,21896,1,100,90021,Non-Refrigerated Warehouse,5,14,30,1971
21.2,-90,-90,96500,1,95,91602,Multifamily Housing,2.9,9.1,2846.6,1989
664.8,-10.2,-10.2,281622,1,95,90068,Multifamily Housing,37.4,73.9,12474,1973
142.7,53.1,53.1,32204,1,100,90017,Multifamily Housing,76.7,116.3,4094.1,1913
82,81.5,81.5,12500,1,100,90066,Library,93.1,260.7,341,2003
626,232.4,232.4,83861,1,90,91436,Mixed Use Property,106,296.7,2866.7,1992
7612.1,525.2,525.2,204387,1,100,91402,Refrigerated Warehouse,491.1,1542,25529.5,2006
305.8,-15.2,-15.2,118388,1,100,90033,Multifamily Housing,42.9,75.7,2270,2014
21.7,-79.9,-79.9,20820,1,100,90027,Multifamily Housing,18.8,23.8,803,1968
106.7,-82.5,-82.5,172100,1,100,90012,Mixed Use Property,9.3,21.5,10446.8,2010
31.5,-79.4,-79.4,60668,1,100,90046,Multifamily Housing,7.4,20.6,2795.5,1986
1127,-39.7,-39.7,385288,1,100,90031,Distribution Center,38.6,121.1,2546.2,1999
257.4,-74.4,-74.4,144123,1,95,90010,Office,28.2,56,2966,1982
312.2,134.4,134.4,44528,1,95,91604,Senior Care Community,219.9,479.6,6541,1989
2365.4,281.6,281.6,259892,1,100,90007,Indoor Arena,133.6,324.8,13364.7,2005
88.4,-86.5,-86.5,44000,1,100,90058,Food Sales,28.5,79.8,158.6,1962
1365.1,-42.8,-42.8,423940,1,90,90067,Office,43.8,128,4994.5,1972
289.1,-25.9,-25.9,60953,1,100,90045,Refrigerated Warehouse,62.7,195.9,453.1,1956
89.7,-11.7,-11.7,91405,1,100,91405,Non-Refrigerated Warehouse,14.2,37.7,184,1958
5.1,-91.6,-91.6,21336,1,100,91401,Multifamily Housing,3.4,9.6,1970.4,1960
615.1,-42.4,-42.4,236775,2,95,90292,Multifamily Housing,43.1,73.6,15716.3,2013
506.2,59.2,59.2,39265,1,95,91324,Other - Mall,218.6,358.8,5866.2,1979
99.9,-0.2,-0.2,37112,1,100,91606,Multifamily Housing,44,82.1,2301.8,1961
77.8,-12.3,-12.3,23173,1,100,91406,Multifamily Housing,57.1,92.3,2047.4,1963
507.4,1660.5,1660.5,8287,1,50,90045,Other,903.3,2167.5,341.1,1989
144.8,85.8,85.8,28739,1,100,91343,Multifamily Housing,75.2,184.1,1525.7,1962
130.3,44.1,44.1,41364,1,100,91343,Multifamily Housing,45.3,122.9,5066.6,1965
109.9,67.8,67.8,49140,1,100,91331,Distribution Center,34.4,77.4,2468.6,1976
824.7,16.9,16.9,179217,14,95,90039,Multifamily Housing,74.9,136,9184.6,1967
101.5,-37.3,-37.3,43000,1,100,91042,Retail Store,34.2,91,373.3,1980
84.4,-17.7,-17.7,51422,1,100,90002,Multifamily Housing,25.1,57.3,1939.7,2000
89.8,-71.5,-71.5,73450,1,100,91304,Office,16.9,47.7,704.7,2008
178.7,-42.2,-42.2,73702,1,100,91311,Office,34.6,95.7,1019.3,1966
394.7,-3.3,-3.3,132210,1,100,90005,Multifamily Housing,49.9,83.3,4729.9,1927
1532.4,105.4,105.4,183999,1,100,90014,Other - Entertainment/Public Assembly,141.6,230.1,3303.4,1911
220.8,-31.4,-31.4,118030,2,95,90007,Multifamily Housing,30.1,59.1,6882.8,1977
217.2,-31.3,-31.3,59962,1,100,91604,Senior Care Community,55.6,126,2413.6,2004
77.1,-50.6,-50.6,42000,3,100,90041,Worship Facility,25.8,69.8,4.3,1960
85,6,6,26980,1,95,90057,Multifamily Housing,44.7,125.2,3292.9,1989
1358.2,12.2,12.2,382174,4,95,90045,Multifamily Housing,56.9,113.6,18871.1,2010
13.7,-38.9,-38.9,39144,1,100,90065,Non-Refrigerated Warehouse,5,13.9,724.8,1934
499.1,44.2,44.2,94961,1,100,91405,Multifamily Housing,61,189.4,5828.8,1974
433.1,20.4,20.4,126645,1,100,90012,Multifamily Housing,53.8,113.2,3121.6,2014
354.8,-18.7,-18.7,107481,1,90,90007,Residence Hall/Dormitory,54.6,97.7,5086.8,1972
35.5,-47.9,-47.9,84240,1,100,90502,Non-Refrigerated Warehouse,6,16.7,815.1,1981
174.7,-28.5,-28.5,55655,1,95,90027,Multifamily Housing,48.9,101.3,2.4,1990
91.1,-28.8,-28.8,100053,1,95,90045,Non-Refrigerated Warehouse,14.6,28.9,487,1947
290.5,1.2,1.2,101286,1,90,91601,Multifamily Housing,43.3,97.8,5.8,2007
81.4,-14.6,-14.6,22425,1,95,91343,Multifamily Housing,60.9,103.9,2224,1987
143.1,-26.7,-26.7,170000,2,95,90039,Self-Storage Facility,11.1,34.9,450.5,1964
202.7,56.6,56.6,55008,1,100,90042,Multifamily Housing,58.7,118.9,3485.3,2018
43.8,4.9,4.9,20200,1,100,90005,K-12 School,30.8,86.1,338.2,2015
55.4,-86.7,-86.7,120000,1,0,91303,Retail Store,6.6,18.4,19.1,1964
110.1,-29.8,-29.8,48852,1,95,90005,Multifamily Housing,36.5,70,2463.5,1926
3.1,-61.5,-61.5,1450,1,100,90710,Office,36.1,57,349.3,2015
368.4,-32,-32,182766,1,100,90039,Performing Arts,29.5,76.2,674.7,1965
178.4,139.2,139.2,17964,1,100,90045,Police Station,141.9,369.2,739.8,1960
160.5,-67.9,-67.9,137002,1,15,90012,Office,15.7,47.5,1915.3,1931
5.4,-92.1,-92.1,28385,1,100,91304,Multifamily Housing,2.7,7.6,2536.3,1978
62,-28.1,-28.1,33012,1,100,90732,Multifamily Housing,31.3,54.9,1117.6,1961
375.6,-4.9,-4.9,141286,1,100,90057,Multifamily Housing,41.2,90.6,698.9,1976
307,-0.3,-0.3,65983,1,100,90292,Office,72.4,157.4,1184.6,1953
8.8,-72.4,-72.4,7565,1,100,91403,Fire Station,16.9,42.7,45.7,1975
9.9,-97.8,-97.8,157050,5,95,90033,Mixed Use Property,0.9,2.5,64.5,1951
152.2,65.1,65.1,25633,1,80,90033,Residential Care Facility,97.9,177.5,3896.6,1929
139.5,-21.4,-21.4,78318,1,100,90064,Multifamily Housing,28.8,55.8,3154.5,2006
89,-19.7,-19.7,33856,1,100,91402,Multifamily Housing,44.3,74.6,2853.8,1963
1061.3,40.6,40.6,211381,1,95,90017,Multifamily Housing,72,185.6,10035.1,2014
28,-82,-82,25989,1,100,90064,Multifamily Housing,20.3,21.3,1325.3,2005
37.9,-74.1,-74.1,38756,1,100,91344,Office,14,38.3,306.6,1958
313.5,12.2,12.2,93908,1,95,91304,Multifamily Housing,55.3,98.6,6713.8,1972
105.5,80.5,80.5,15203,1,100,90061,Fire Station,110.2,225.4,516.7,2009
82.3,-20.6,-20.6,38523,1,60,90028,Multifamily Housing,34.8,65.9,1657.7,1965
72.7,-76.6,-76.6,68000,1,100,90046,Multifamily Housing,17.8,30,3611.9,1973
93.7,56.6,56.6,25433,1,100,90005,Multifamily Housing,58.7,118.9,1611.4,1961
43.4,-57,-57,36876,1,90,90028,Multifamily Housing,16.7,46.7,2924.3,1922
5.5,-76.1,-76.1,30000,1,100,90033,Non-Refrigerated Warehouse,2.4,7.6,2.4,1964
173,-13.2,-13.2,64090,1,95,91316,Multifamily Housing,42.1,86.9,3233.1,1970
433.4,-10.5,-10.5,84353,1,100,91316,Other - Mall,67.7,212.7,5254.3,1973
16.5,-72.4,-72.4,46750,1,100,91605,Self-Storage Facility,5.2,13.2,111,2009
11,-57.9,-57.9,11600,1,100,90058,Other - Utility,13.4,37.6,377.2,1980
90.8,-26.7,-26.7,40676,7,100,90034,Multifamily Housing,38.8,58,1398.1,1959
98,-81.4,-81.4,68134,1,100,90502,Office,26.8,29.7,4317,1983
4.6,-94,-94,32421,1,100,90005,Multifamily Housing,2,5.7,1857.6,1991
134.9,56.6,56.6,36624,1,100,90020,Multifamily Housing,58.7,118.9,2320.5,1972
693.7,18.6,18.6,286000,1,100,90015,Performing Arts,34.9,101,1818.5,2007
20.7,-76.1,-76.1,73050,1,100,91042,Self-Storage Facility,3.8,11.4,101,1989
58.2,-47.6,-47.6,25015,1,100,91406,Multifamily Housing,40.1,61.9,1976.5,1964
287.8,7.9,7.9,22575,1,100,90029,Supermarket/Grocery Store,190.1,467.6,893,2010
194.5,-17.2,-17.2,58377,1,65,90029,Medical Office,47.3,132.4,706.9,1962
13.1,-91.1,-91.1,49263,1,95,91405,Multifamily Housing,3.8,10.6,20.1,1969
74.8,-44.4,-44.4,50928,1,100,91403,Multifamily Housing,23.5,46.9,983.7,1990
639.5,-45.2,-45.2,131256,1,100,91325,Office,66.3,194,1690.6,2000
358,-21.9,-21.9,164787,1,95,90292,Multifamily Housing,32.9,73.8,5700.2,2001
5.5,-94.1,-94.1,41550,1,100,90058,Other,1.9,5.3,89,1980
25.6,-96.9,-96.9,62690,2,100,90230,Supermarket/Grocery Store,4.7,14.8,1200.4,1960
29.8,-50.8,-50.8,8800,1,100,90016,Office,44.7,140.2,123.4,1955
7.8,-92.3,-92.3,33320,1,100,90021,Retail Store,3.3,9.3,205.4,1987
346,706.7,706.7,18240,1,100,91316,Other - Recreation,251.3,781,508.7,1990
82,-53.3,-53.3,42196,1,100,91604,Multifamily Housing,32.7,55.1,2165,1963
253.2,-3.1,-3.1,105300,1,100,90036,Multifamily Housing,39.2,73.6,3930.3,1987
134.9,-33.2,-33.2,78300,1,95,91601,Multifamily Housing,27.4,56,2250.1,1989
41.4,-32.8,-32.8,21508,1,100,90034,Multifamily Housing,31.9,56.9,911.9,1986
905.3,-38.6,-38.6,231893,1,80,91436,Office,54.4,150.3,2730.6,1970
68.6,-38.2,-38.2,38994,1,95,90018,Multifamily Housing,27.2,60.6,2069.6,1971
1482.6,-43.9,-43.9,390960,1,85,91367,Office,52.2,148.5,6343.8,1980
864.5,4.8,4.8,108355,2,75,90049,Hotel,133.8,228.6,10501.2,1980
120.9,-43.8,-43.8,88101,1,100,90020,Multifamily Housing,22.1,43.4,4425.5,1972
386.2,-3.9,-3.9,170621,1,100,90008,Multifamily Housing,35,73.8,7029.4,1984
93.8,-43.3,-43.3,51000,1,100,91405,Mixed Use Property,26.1,73.1,1167,1966
4.3,-94.8,-94.8,27592,1,95,90048,Multifamily Housing,2.2,6.1,13,1962
170.5,-38.7,-38.7,57550,1,50,90045,Office,47.7,93.7,921.1,1962
438.6,6.4,6.4,82613,1,100,90017,Multifamily Housing,85.5,167.3,12377.3,1922
147.2,-3.4,-3.4,53792,1,95,90027,Multifamily Housing,46.1,77.4,1152,1971
53.5,-80,-80,66000,1,100,90037,Office,11.5,32.2,190,1987
12.6,-73.8,-73.8,36060,2,100,91605,Distribution Center,5,13.9,135.7,1960
158.6,-39.9,-39.9,116646,1,100,91352,Multifamily Housing,20.7,48,4257.9,1951
91.1,-63.3,-63.3,86381,1,100,91601,Multifamily Housing,26.7,38,5410.3,1986
398.1,-8.6,-8.6,85569,1,100,91344,Office,72.4,157.4,1536.2,1953
930.8,40.7,40.7,183865,1,100,91335,Retail Store,73.2,195.5,4735.9,1958
667.2,145.8,145.8,164130,3,95,91326,Worship Facility,61.9,143.6,6182.6,2017
171.5,1.9,1.9,37325,1,100,90065,Retail Store,66.5,177,1912.6,1990
76.3,-17.6,-17.6,24769,1,100,91042,Multifamily Housing,51.7,88,1859.7,1988
169.9,56.6,56.6,46126,1,100,90026,Multifamily Housing,58.7,118.9,2922.5,1990
370.8,-13.1,-13.1,145688,1,95,90069,Multifamily Housing,40.4,82.9,4324.5,1971
113.9,-27.2,-27.2,38000,1,80,90031,Fitness Center/Health Club/Gym,51.3,81.5,473.5,1936
50.5,-5.2,-5.2,12544,1,100,91303,Fire Station,58.4,146.4,207.9,1978
553.9,-7.1,-7.1,192500,1,95,90036,Multifamily Housing,43.4,98.2,7835.1,1986
113.1,9,9,26261,1,100,91403,Hotel,69.6,134.7,1780.8,1941
59.1,-9.2,-9.2,26496,1,95,90027,Multifamily Housing,36.6,67.2,1182.9,1960
112.7,-36.6,-36.6,106400,1,95,90024,Multifamily Housing,16.4,34.7,2983.1,1972
274.1,393.2,393.2,30942,1,95,90014,Multifamily Housing,143.3,276.4,6225.3,2000
13.8,-82.9,-82.9,61150,1,100,91040,Self-Storage Facility,3.4,8.2,116,2016
111.4,-14.3,-14.3,37324,1,95,90048,Multifamily Housing,50.2,84.7,1299.4,1986
375.5,20.9,20.9,126769,1,100,90015,Multifamily Housing,44.2,102.7,5124.9,1929
401.7,-16.6,-16.6,94383,1,95,90025,Office,55.9,175.5,560.5,1984
54.6,-6.8,-6.8,21364,1,100,90004,Multifamily Housing,43.1,72.2,1134.2,1927
220.9,-17.5,-17.5,73252,1,100,91405,Multifamily Housing,49.7,90,5754.8,1986
6.1,-82.7,-82.7,26250,1,100,91405,Non-Refrigerated Warehouse,3.3,9.2,17.2,1962
457.1,-42.3,-42.3,187287,2,100,91335,Senior Care Community,34.6,97,21617,2017
393.6,-4.9,-4.9,115750,2,90,90015,Office,44.8,140.8,1350.2,1989
727.5,69,69,70541,1,80,90744,Refrigerated Warehouse,136,427,5112.8,2003
77.4,-12.2,-12.2,25959,1,100,91402,Multifamily Housing,50.9,81.5,2369.1,1962
2544.6,6.2,6.2,692533,2,100,90025,Multifamily Housing,60.9,104.4,35575.1,1961
125.7,0.5,0.5,48902,1,95,91604,Multifamily Housing,37.7,92,1017.5,1987
186,-43.7,-43.7,147000,1,90,90014,Other - Lodging/Residential,18,50.3,5019.4,1917
2624.6,4.3,4.3,818090,1,100,90048,Medical Office,45.7,126.9,12431.1,2013
76.8,-24.1,-24.1,36403,1,95,90025,Multifamily Housing,34.3,64.8,995493.9,1999
2955.8,-55.3,-55.3,1087180,1,80,90071,Office,36.9,108.7,12247.6,1981
2152.3,191.8,191.8,155926,1,100,90033,Ambulatory Surgical Center,213,452.8,8713.3,1984
224.9,10.9,10.9,63000,1,100,91311,Fitness Center/Health Club/Gym,50,136.5,1734.7,1990
56.4,-59.4,-59.4,41952,1,100,90046,Multifamily Housing,24.2,31.6,1274.7,1960
85.4,-8.9,-8.9,26543,1,80,91607,Multifamily Housing,55.7,84.7,1279.9,1965
1596.3,74.6,74.6,149850,1,100,90027,Medical Office,122.8,385.5,4055.9,1983
2113.6,29.9,29.9,324320,22,80,91302,Senior Care Community,75.1,235.8,33623.7,1942
140.1,-17.9,-17.9,57624,1,100,91316,Multifamily Housing,40.7,70,3715.6,1969
152.3,3,3,56424,1,95,90038,Multifamily Housing,43.1,86.8,2520.2,1988
187.9,49,49,66866,1,95,90292,Multifamily Housing,39.9,111.7,3866.5,1970
640.5,16.5,16.5,175600,2,95,91335,Multifamily Housing,59.5,107.4,329.9,1971
776.5,-52.6,-52.6,606030,1,95,91601,Multifamily Housing,19.5,43,9673.1,2014
107.1,-12.1,-12.1,49592,1,100,90020,Multifamily Housing,35,67.3,3101.4,1977
203.9,58.1,58.1,66866,1,95,90292,Multifamily Housing,40.2,126.2,3373,1970
175,-52,-52,68666,1,95,90094,Office,33.6,105.5,1426.6,1942
214.8,-27.4,-27.4,92122,1,95,91335,Multifamily Housing,38.4,69.7,4773.6,1977
449.6,-5.1,-5.1,144285,1,100,91607,Multifamily Housing,52.7,84.6,1689.8,1995
104.8,80.1,80.1,57005,1,100,90045,Non-Refrigerated Warehouse,26.2,72.5,385.2,1955
129,-37.3,-37.3,98624,1,95,91405,Multifamily Housing,18.6,52,6368.9,1971
146.7,-53.8,-53.8,101573,7,95,91331,Multifamily Housing,20.5,57.4,9755.3,1973
19.4,-38.8,-38.8,13000,1,80,91340,Other - Public Services,22.2,54.7,202.7,2000
3016.6,-57,-57,1363623,1,55,90071,Office,29.3,91.1,14540.9,1991
398.1,-8.8,-8.8,85569,1,100,91344,Office,72.4,157.4,1536.2,1953
137.4,-11.2,-11.2,69943,1,100,90061,Multifamily Housing,31.6,62.1,3038.6,2003
64.3,-29.9,-29.9,38382,1,100,90027,Multifamily Housing,26.8,53.6,1061.5,1969
2607.9,-42.4,-42.4,704731,1,85,90071,Office,50.1,148,16800,1982
77.8,-25.4,-25.4,49530,1,100,90057,Multifamily Housing,22.3,62.4,5651.5,1989
225,-37.9,-37.9,133049,3,100,91367,Multifamily Housing,27.3,52.8,3196.4,1965
281.6,5.9,5.9,104176,1,95,91604,Multifamily Housing,44.2,82.2,2108.8,1987
13.6,-47.8,-47.8,26300,1,100,90065,Non-Refrigerated Warehouse,7.4,20.6,274.5,1957
64.9,43.6,43.6,12500,1,100,91342,Library,73.7,206.3,153.7,2003
204.9,-20.5,-20.5,87442,1,100,90057,Multifamily Housing,38.2,71.7,5884.9,1973
242.8,-73.2,-73.2,163608,1,100,90014,Office,19.8,60.5,1065.2,1926
66.7,-6.6,-6.6,26261,1,100,91406,Multifamily Housing,41,79.6,1229.8,1988
12.3,-59.1,-59.1,25000,1,100,91311,Non-Refrigerated Warehouse,7.5,17.5,310.4,1997
141.5,56.6,56.6,38400,1,100,90004,Multifamily Housing,58.7,118.9,2433,1953
450.9,5,5,138500,1,100,91352,Non-Refrigerated Warehouse,37.5,117.8,1066.7,2002
297.2,73.9,73.9,72106,1,95,91356,Other,60.5,155.2,1.6,1986
60.6,3,3,15290,1,100,91604,Fire Station,63,128.6,1903.1,1943
52.5,-48.5,-48.5,87964,1,100,91306,Self-Storage Facility,7.9,24.5,736,1996
144.7,107.3,107.3,31104,1,100,90038,Multifamily Housing,72.4,157.4,558.4,1965
469.6,2.5,2.5,103797,1,100,91406,Office,66.2,171.3,1508.8,1983
67.5,-53.2,-53.2,96616,1,100,90710,Non-Refrigerated Warehouse,9.2,28.9,506.4,1975
267.2,-73.3,-73.3,162788,1,100,90066,Retail Store,23.5,60.8,4937.3,1994
1938.2,87.1,87.1,350976,2,100,90017,Office,78.8,217.8,8074.1,1958
2877.4,-41,-41,755200,1,95,90017,Office,50.2,157.8,100.9,1990
150.1,11.7,11.7,32256,1,100,91356,Office,72.4,157.4,579.1,1977
43.1,0.6,0.6,17944,1,100,90035,Multifamily Housing,39.1,73.9,1448,1964
215.3,0.4,0.4,50013,1,95,91356,Office,62.2,166.6,446.6,1981
4.2,-96,-96,42503,1,100,91326,Multifamily Housing,1.4,3.9,2142.4,1964
70.3,-15.3,-15.3,21800,1,100,90006,Multifamily Housing,54.6,90.3,1526,1987
80.4,-58.4,-58.4,36262,1,100,91325,Multifamily Housing,40.5,49.2,1786.3,1977
14.3,-71.4,-71.4,39000,1,100,90065,Distribution Center,5.2,14.5,127.9,1953
119,-27,-27,54014,0,100,91402,Multifamily Housing,33.2,75.4,3.5,2011
120.3,114.3,114.3,25864,1,100,90049,Multifamily Housing,72.4,157.4,464.3,1961
2630.1,188.4,188.4,465861,5,100,90029,Worship Facility,82.3,203.8,23495.5,1943
1613,-32.3,-32.3,398836,1,55,90024,Office,46.6,146.4,5587.9,1990
648.7,78.5,78.5,116386,1,90,90094,Multifamily Housing,74.1,228.4,6077.4,2015
75.5,10.3,10.3,16500,1,100,91335,Office,73.4,145.2,203.8,1990
331.7,16.3,16.3,89888,1,95,90272,Office,52.4,146.7,1168,1981
443.9,-28.2,-28.2,95400,1,100,91403,Medical Office,72.4,157.4,1712.7,1978
225.7,103,103,81212,1,100,91340,Distribution Center,39.5,110.5,3336.3,1955
15.3,-84.1,-84.1,52871,1,100,91436,Multifamily Housing,4.1,11.5,1449,1963
4.3,-97.6,-97.6,80594,1,100,91605,Other,0.8,2.1,3842,1987
664.9,48.8,48.8,188028,1,100,90028,Multifamily Housing,50.4,131.9,5791.4,1928
52.3,-36.7,-36.7,23520,1,95,90028,Multifamily Housing,36,69.5,1657.7,1928
1077.9,27.5,27.5,266718,5,100,91406,Multifamily Housing,65.2,126.7,20315.7,1967
74.8,-23.2,-23.2,28714,1,100,91403,Multifamily Housing,42,81.9,1413.8,1985
150.6,-50.8,-50.8,71969,1,100,90010,Office,30.4,80.4,694.9,1968
17.2,-88.8,-88.8,133479,3,85,90066,Self-Storage Facility,1.7,5.3,48.2,1985
63.5,-8.5,-8.5,15290,1,100,91604,Fire Station,62.7,141.3,643.1,1943
7.4,-82.9,-82.9,30000,1,75,90031,Distribution Center,3.4,9.5,671.8,1957
39.7,-16.7,-16.7,26882,1,95,90025,Multifamily Housing,20.9,58.6,1045.6,1969
25,-48,-48,24850,3,100,90247,K-12 School,14.3,40,384.6,1925
35.9,-93.5,-93.5,254608,1,100,90017,Mixed Use Property,6.1,8,10016.3,2011
404,-61.3,-61.3,255211,6,90,90023,Office,18.2,57.3,2383.6,1911
58.3,106,106,26300,1,100,91311,Non-Refrigerated Warehouse,31.5,88.1,120.4,1982
65.7,-80,-80,106116,1,95,90731,Multifamily Housing,8.2,25.6,3013.2,1987
200.4,-1.9,-1.9,35672,1,100,90020,Multifamily Housing,87,183,4360.4,1990
174.8,0.3,0.3,62437,2,100,91324,Multifamily Housing,45.8,85,5005.2,1971
139.3,-31.2,-31.2,77842,1,95,91602,Multifamily Housing,29.2,54.7,2408.7,2006
868.6,213.7,213.7,138263,1,100,90021,Refrigerated Warehouse,89.2,249.5,4132.2,1985
69.4,-21.7,-21.7,22592,1,100,91402,Multifamily Housing,52.7,82.5,2381.8,1975
593.5,-26.5,-26.5,210917,1,95,90015,Multifamily Housing,43.9,94.7,6696.4,2016
443.7,-6.2,-6.2,86788,1,90,91364,Office,70.1,201.4,1903.7,1987
70.5,-42.5,-42.5,38404,1,100,90028,Multifamily Housing,29.5,58.2,1000.9,1969
38.6,-14.4,-14.4,12500,1,100,90002,Library,43.9,122.9,207.9,1996
272.8,20.2,20.2,72401,1,100,90004,Multifamily Housing,56.6,129.6,2536.6,1973
91.1,-47.1,-47.1,103796,1,95,90021,Distribution Center,10.1,31.8,446.6,1997
57.9,-41.2,-41.2,85679,1,90,90066,Self-Storage Facility,8.9,28,500.4,2002
101.1,5,5,45378,1,95,90039,Multifamily Housing,36.6,67.2,1244367.3,1973
324.1,140.3,140.3,35210,1,95,90024,Residence Hall/Dormitory,147.7,292.5,3998.2,1972
421.9,68.6,68.6,138500,1,100,91352,Non-Refrigerated Warehouse,43.2,121.1,1120.3,2002
249.6,-74.7,-74.7,182526,1,100,90015,Office,18.1,56.5,1183.4,1927
83.1,-42.3,-42.3,48240,1,100,90005,Multifamily Housing,28,53.3,2115.5,1962
327.2,53,53,68515,3,100,90248,Automobile Dealership,67.8,189.9,1512.3,2001
3.3,-94.2,-94.2,21026,1,100,90005,Multifamily Housing,2.2,6.2,1679.1,1970
133.4,-27.2,-27.2,112046,1,100,90049,Multifamily Housing,18.6,40.2,2518.7,2010
3.9,-95.3,-95.3,37340,4,95,91304,Other,1.5,4.2,126.9,1976
156.7,-6.1,-6.1,67764,3,100,90044,Multifamily Housing,38.4,67.6,4929.7,2010
21.8,-75.4,-75.4,30240,1,50,91304,Office,10.2,28.7,206.5,1965
105.9,-42.6,-42.6,46994,1,45,91364,Office,32.8,85.9,101,1983
83.7,5.1,5.1,55715,1,100,91340,Non-Refrigerated Warehouse,19.8,62.2,508.2,1991
66.5,-26.7,-26.7,24874,1,100,91304,Multifamily Housing,44.9,75.9,1050799.1,1979
94,-72.3,-72.3,110000,1,90,90024,Multifamily Housing,11.3,35.4,3828.5,1973
156.7,56.6,56.6,42522,1,100,90004,Multifamily Housing,58.7,118.9,2694.2,1956
174.8,-58.5,-58.5,192306,1,95,90036,Multifamily Housing,12,37.6,10640.4,1951
179.8,2.4,2.4,64344,1,100,90272,Multifamily Housing,48.5,73.2,2523.2,1970
104.6,-58.6,-58.6,129177,1,100,90293,Multifamily Housing,14,21.2,4386.6,1964
537.6,-52.1,-52.1,222775,1,100,90010,Office,35.1,92.5,1288.2,1971
903.5,-32.2,-32.2,202704,1,100,90048,Office,59.1,183.4,4780.3,1986
350.1,159.7,159.7,25061,1,100,90710,Office,199.3,419.3,1254,1989
109.1,-76.9,-76.9,151375,2,100,91345,Automobile Dealership,10.2,28.6,252.4,2012
11.9,386.9,386.9,834,1,90,90744,Office,202.4,566.6,95,1969
21.2,-80.5,-80.5,32571,1,95,91356,Multifamily Housing,9.6,24.5,1117.8,1994
