CARBON_DIOXIDE_EMISSIONS_Metric_Ton_CO2e_,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SOURCE_EUI,X_DIFFERENCE_FROM_NATIONAL_MEDIAN_SITE_EUI,GROSS_BUILDING_FLOOR_AREA_ft_,NUMBER_OF_BUILDINGS,OCCUPANCY,POSTAL_CODE,PROPERTY_TYPE,SITE_ENERGY_USE_INTENSITY_EUI_kBtu_ft_,Source_EUI_kBtu_ft_,TOTAL_WATER_USE_kgal_,YEAR_BUILT
546.3,-70.6,-70.6,266396,1,100,90058,Refrigerated Warehouse,23.6,74.2,843.5,1965
35.7,-76.5,-76.5,125938,1,100,90744,Self-Storage Facility,4,11.2,643,2009
610.5,-33.1,-33.1,131256,1,100,91325,Office,67.8,177,2583.8,2000
93.3,-15.9,-15.9,39010,1,100,91405,Multifamily Housing,39.4,71.7,2211.2,1980
242.8,-82.7,-82.7,433745,1,100,91608,Hotel,7.5,22.8,1065.2,1968
218.6,0.5,0.5,75948,1,100,91402,Multifamily Housing,44,96.1,3657.2,2009
100.9,10.3,10.3,29647,1,100,91406,Multifamily Housing,57.9,94,1899.3,1970
302.5,-11.6,-11.6,128745,1,100,90027,Multifamily Housing,35,81.9,3968.4,1979
78.1,-56.7,-56.7,64990,1,100,90024,Multifamily Housing,17.1,47.5,4999.2,1986
688.7,4.1,4.1,261563,1,100,90094,Multifamily Housing,41.8,82,9542.2,2004
230.8,-18.4,-18.4,91307,1,100,91324,Multifamily Housing,39.2,82.1,3747.7,1973
39.2,-69.6,-69.6,45965,1,60,91402,Non-Refrigerated Warehouse,13.2,29.3,124.9,1953
144.6,-72.4,-72.4,298000,1,100,90502,Distribution Center,6.4,20,896.9,1997
29.8,-43.8,-43.8,39782,2,100,90248,Distribution Center,10.6,29.7,1597.8,1980
40.3,-9,-9,12269,1,100,90018,Library,46.7,130.7,364.2,2000
82,-55.1,-55.1,100362,1,100,91342,Non-Refrigerated Warehouse,11.6,30.9,2.2,2001
6.4,-77.8,-77.8,46000,1,5,90021,Distribution Center,2,5.5,46.3,2000
54.6,21,21,12500,1,100,91303,Library,62.1,173.8,594.7,2004
83.9,142.6,142.6,8250,1,100,90011,Fire Station,146.3,374.4,654.4,2010
28.9,-85.8,-85.8,48354,1,100,91324,Multifamily Housing,10.1,16.7,2055.9,1972
848.2,-30.6,-30.6,169951,1,100,91436,Office,60.3,174.3,2745.4,1983
53.1,93.5,93.5,10720,1,100,91601,Other - Recreation,69.8,187.4,794.4,1977
25.5,-65.4,-65.4,17640,1,100,90041,Fire Station,20.8,53.4,153.4,2010
139.9,-9.9,-9.9,58960,1,100,90036,Multifamily Housing,39.4,69.6,1894.8,1989
240.2,-29.6,-29.6,103854,1,95,91304,Multifamily Housing,36.9,74.6,5816.1,2012
92.9,-51.5,-51.5,45000,1,90,90041,Hotel,33.8,62.6,1747.4,1984
18,-69.9,-69.9,16583,1,100,90006,Other - Lodging/Residential,15.4,43.3,2179.8,1905
45.5,-50.1,-50.1,26046,1,100,90026,Multifamily Housing,29.8,47.7,2018.1,2008
84.6,-58.1,-58.1,69821,5,100,90036,K-12 School,17.7,45.9,1305.2,1966
240.9,5.9,5.9,71755,1,95,90036,Multifamily Housing,59.9,80.5,5382.2,1951
30.9,-62.8,-62.8,23800,1,100,91367,Retail Store,18.5,51.7,709.2,1974
1279.3,-14.4,-14.4,295750,1,80,90015,Hotel,68.6,141,12048.9,2014
328,4.9,4.9,65039,1,100,90094,Senior Care Community,74.7,177.6,3134.3,2006
5.8,-82.6,-82.6,27557,1,100,90041,Self-Storage Facility,3,8.3,11,2000
25.4,-82.1,-82.1,118368,1,70,91311,Self-Storage Facility,3.1,8.5,60.7,1985
110.6,-69.3,-69.3,95980,1,100,91367,Office,16.8,44,776.5,2006
79.5,40.5,40.5,14494,1,100,90019,Office,72.3,227.1,300.9,1963
22.7,-83.9,-83.9,25759,1,100,90068,Multifamily Housing,16.4,18,917.1,1961
546.1,-40.5,-40.5,403669,1,100,90015,Multifamily Housing,20,47.7,6352.5,2015
543.5,-33.3,-33.3,61840,1,100,90025,Supermarket/Grocery Store,129.7,327.9,1557.5,1962
1617.7,-31.9,-31.9,490000,1,85,90017,Office,46.9,131.2,7183.1,1987
49.7,-54.8,-54.8,38382,1,100,90024,Multifamily Housing,22.5,33.8,4855.6,1970
115.8,-78.4,-78.4,158213,1,100,90012,Mixed Use Property,10.6,26.6,7553.3,1989
106.1,53.8,53.8,28020,1,100,90068,Multifamily Housing,60.1,123.1,1533.5,1963
66.4,-15.9,-15.9,21134,1,100,90004,Multifamily Housing,53.7,85.9,2131.2,1961
87,-9.3,-9.3,17235,1,100,90045,Office,81.8,151,265.2,1990
309.3,-46.3,-46.3,134189,1,100,90006,Enclosed Mall,32.7,91.6,9198.6,2001
82.1,22.4,22.4,33468,1,100,90016,Multifamily Housing,42.5,64.6,1254.2,1950
36.1,-72.9,-72.9,39690,1,100,91352,Multifamily Housing,16.7,20,362.4,1990
362.9,271.2,271.2,78000,1,100,91605,Non-Refrigerated Warehouse,72.4,157.4,1400.4,1980
474.8,-13,-13,102049,1,100,90008,Medical Office,72.4,157.4,1832.1,1959
136.7,-37.8,-37.8,56000,1,100,90046,Multifamily Housing,43.6,58.3,2751.3,1974
284.8,12.7,12.7,125252,12,100,91304,Multifamily Housing,37.4,68.2,3727.5,1981
160.8,477.5,477.5,12400,1,100,90023,Other,184.1,515.6,965,1943
971.2,284.1,284.1,80000,3,100,90049,Other,193.2,342.9,50363.3,1940
360.2,-22.9,-22.9,160710,1,95,91316,Multifamily Housing,36.5,76.6,9166.6,2004
989,43.6,43.6,105561,1,100,90089,College/University,159.2,259.4,605.2,2013
137,-48.2,-48.2,117674,1,90,90014,Other,16.5,46.3,2555.3,1924
5.5,-95,-95,48751,1,100,91343,Multifamily Housing,1.6,4.5,4129.5,1963
29,-23.6,-23.6,10500,1,100,90291,Library,39.2,109.7,927.5,1995
277.6,-79,-79,260629,1,65,90045,Office,14,44.1,3306.4,1972
191.9,-10.6,-10.6,65746,1,100,90028,Multifamily Housing,50.4,77.3,319.4,1962
69,-12.8,-12.8,19308,1,100,91402,Fire Station,50.6,134.6,223.4,2007
12.7,-89.7,-89.7,100870,1,100,91405,Self-Storage Facility,1.7,4.9,102,2009
57.3,-10.3,-10.3,82000,1,85,90015,Non-Refrigerated Warehouse,9.9,27.8,155.6,2004
18.3,-91,-91,89852,1,95,91406,Multifamily Housing,2.9,8.1,7400.4,1975
